id	name
01001	Montgomery, AL
01007	Birmingham-Hoover, AL
01009	Birmingham-Hoover, AL
01015	Anniston-Oxford, AL
01021	Birmingham-Hoover, AL
01033	Florence-Muscle Shoals, AL
01051	Montgomery, AL
01055	Gadsden, AL
01061	Dothan, AL
01063	Tuscaloosa, AL
01065	Tuscaloosa, AL
01067	Dothan, AL
01069	Dothan, AL
01073	Birmingham-Hoover, AL
01077	Florence-Muscle Shoals, AL
01079	Decatur, AL
01081	Auburn-Opelika, AL
01083	Huntsville, AL
01085	Montgomery, AL
01089	Huntsville, AL
01097	Mobile, AL
01101	Montgomery, AL
01103	Decatur, AL
01113	Columbus, GA-AL
01115	Birmingham-Hoover, AL
01117	Birmingham-Hoover, AL
01125	Tuscaloosa, AL
01127	Birmingham-Hoover, AL
02020	Anchorage, AK
02090	Fairbanks, AK
02170	Anchorage, AK
04005	Flagstaff, AZ
04013	Phoenix-Mesa-Glendale, AZ
04015	Lake Havasu City-Kingman, AZ
04019	Tucson, AZ
04021	Phoenix-Mesa-Glendale, AZ
04025	Prescott, AZ
04027	Yuma, AZ
05007	Fayetteville-Springdale-Rogers, AR-MO
05025	Pine Bluff, AR
05031	Jonesboro, AR
05033	Fort Smith, AR-OK
05035	Memphis, TN-MS-AR
05045	Little Rock-N.Little Rock-Conway,AR
05047	Fort Smith, AR-OK
05051	Hot Springs, AR
05053	Little Rock-N.Little Rock-Conway,AR
05069	Pine Bluff, AR
05079	Pine Bluff, AR
05085	Little Rock-N.Little Rock-Conway,AR
05087	Fayetteville-Springdale-Rogers, AR-MO
05091	Texarkana, TX-Texarkana, AR
05105	Little Rock-N.Little Rock-Conway,AR
05111	Jonesboro, AR
05119	Little Rock-N.Little Rock-Conway,AR
05125	Little Rock-N.Little Rock-Conway,AR
05131	Fort Smith, AR-OK
05143	Fayetteville-Springdale-Rogers, AR-MO
06001	Oakland-Fremont-Hayward, CA
06007	Chico, CA
06013	Oakland-Fremont-Hayward, CA
06017	Sacramento--Arden-Arcade--Roseville, CA
06019	Fresno, CA
06025	El Centro, CA
06029	Bakersfield-Delano, CA
06031	Hanford-Corcoran, CA
06037	Los Angeles-Long Beach-Santa Ana, CA
06039	Madera-Chowchilla, CA
06041	San Francisco-San Mateo-Redwood City,CA
06047	Merced, CA
06053	Salinas, CA
06055	Napa, CA
06059	Santa Ana-Anaheim-Irvine, CA
06061	Sacramento--Arden-Arcade--Roseville, CA
06065	Riverside-San Bernardino-Ontario, CA
06067	Sacramento--Arden-Arcade--Roseville, CA
06069	San Jose-Sunnyvale-Santa Clara, CA
06071	Riverside-San Bernardino-Ontario, CA
06073	San Diego-Carlsbad-San Marcos, CA
06075	San Francisco-San Mateo-Redwood City,CA
06077	Stockton, CA
06079	San Luis Obispo-Paso Robles, CA
06081	San Francisco-San Mateo-Redwood City,CA
06083	Santa Barbara-Santa Maria-Goleta, CA
06085	San Jose-Sunnyvale-Santa Clara, CA
06087	Santa Cruz-Watsonville, CA
06089	Redding, CA
06095	Vallejo-Fairfield, CA
06097	Santa Rosa-Petaluma, CA
06099	Modesto, CA
06101	Yuba City, CA
06107	Visalia-Porterville, CA
06111	Oxnard-Thousand Oaks-Ventura, CA
06113	Sacramento--Arden-Arcade--Roseville, CA
06115	Yuba City, CA
08001	Denver-Aurora-Broomfield, CO
08005	Denver-Aurora-Broomfield, CO
08013	Boulder, CO
08014	Denver-Aurora-Broomfield, CO
08019	Denver-Aurora-Broomfield, CO
08031	Denver-Aurora-Broomfield, CO
08035	Denver-Aurora-Broomfield, CO
08039	Denver-Aurora-Broomfield, CO
08041	Colorado Springs, CO
08047	Denver-Aurora-Broomfield, CO
08059	Denver-Aurora-Broomfield, CO
08069	Fort Collins-Loveland, CO
08077	Grand Junction, CO
08093	Denver-Aurora-Broomfield, CO
08101	Pueblo, CO
08119	Colorado Springs, CO
08123	Greeley, CO
09001	Bridgeport-Stamford-Norwalk, CT
09003	Hartford-West Hartford-East Hartford, C
09007	Hartford-West Hartford-East Hartford, C
09009	New Haven-Milford, CT
09011	Norwich-New London, CT
09013	Hartford-West Hartford-East Hartford, C
10001	Dover, DE
10003	Wilmington, DE-MD-NJ
11001	Washington-Arlington-Alexandria DC-VA
12001	Gainesville, FL
12003	Jacksonville, FL
12005	Panama City-Lynn Haven-Panama City Beach, FL
12009	Palm Bay-Melbourne-Titusville, FL
12011	Ft Lauderdale-Pompano Beach-Deerfield
12015	Punta Gorda, FL
12019	Jacksonville, FL
12021	Naples-Marco Island, FL
12031	Jacksonville, FL
12033	Pensacola-Ferry Pass-Brent, FL
12035	Palm Coast, FL
12039	Tallahassee, FL
12041	Gainesville, FL
12053	Tampa-St. Petersburg-Clearwater, FL
12057	Tampa-St. Petersburg-Clearwater, FL
12061	Sebastian-Vero Beach,FL
12065	Tallahassee, FL
12069	Orlando-Kissimmee-Sanford, FL
12071	Cape Coral-Fort Myers, FL
12073	Tallahassee, FL
12081	North Port-Bradenton-Sarasota, FL
12083	Ocala, FL
12085	Port St. Lucie,FL
12086	Miami-Miami Beach-Kendall, FL
12089	Jacksonville, FL
12091	Crestview-Fort Walton Beach-Destin, FL
12095	Orlando-Kissimmee-Sanford, FL
12097	Orlando-Kissimmee-Sanford, FL
12099	West Palm Beach-Boca Raton-Boynton FL
12101	Tampa-St. Petersburg-Clearwater, FL
12103	Tampa-St. Petersburg-Clearwater, FL
12105	Lakeland-Winter Haven, FL
12109	Jacksonville, FL
12111	Port St. Lucie, FL
12113	Pensacola-Ferry Pass-Brent, FL
12115	North Port-Bradenton-Sarasota, FL
12117	Orlando-Kissimmee-Sanford, FL
12127	Deltona-Daytona Beach-Ormond Beach, FL
12129	Tallahassee, FL
13007	Albany, GA
13013	Atlanta-Sandy Springs-Marietta, GA
13015	Atlanta-Sandy Springs-Marietta, GA
13021	Macon, GA
13025	Brunswick, GA
13027	Valdosta, GA
13029	Savannah, GA
13033	Augusta-Richmond County, GA-SC
13035	Atlanta-Sandy Springs-Marietta, GA
13045	Atlanta-Sandy Springs-Marietta, GA
13047	Chattanooga, TN-GA
13051	Savannah, GA
13053	Columbus, GA-AL
13057	Atlanta-Sandy Springs-Marietta, GA
13059	Athens-Clarke County, GA
13063	Atlanta-Sandy Springs-Marietta, GA
13067	Atlanta-Sandy Springs-Marietta, GA
13073	Augusta-Richmond County, GA-SC
13077	Atlanta-Sandy Springs-Marietta, GA
13079	Macon, GA
13083	Chattanooga, TN-GA
13085	Atlanta-Sandy Springs-Marietta, GA
13089	Atlanta-Sandy Springs-Marietta, GA
13095	Albany, GA
13097	Atlanta-Sandy Springs-Marietta, GA
13101	Valdosta, GA
13103	Savannah, GA
13113	Atlanta-Sandy Springs-Marietta, GA
13115	Rome, GA
13117	Atlanta-Sandy Springs-Marietta, GA
13121	Atlanta-Sandy Springs-Marietta, GA
13127	Brunswick, GA
13135	Atlanta-Sandy Springs-Marietta, GA
13139	Gainesville, GA
13143	Atlanta-Sandy Springs-Marietta, GA
13145	Columbus, GA-AL
13149	Atlanta-Sandy Springs-Marietta, GA
13151	Atlanta-Sandy Springs-Marietta, GA
13153	Warner Robins, GA
13159	Atlanta-Sandy Springs-Marietta, GA
13169	Macon, GA
13171	Atlanta-Sandy Springs-Marietta, GA
13173	Valdosta, GA
13177	Albany, GA
13179	Hinesville-Fort Stewart, GA
13183	Hinesville-Fort Stewart, GA
13185	Valdosta, GA
13189	Augusta-Richmond County, GA-SC
13191	Brunswick, GA
13195	Athens-Clarke County, GA
13197	Columbus, GA-AL
13199	Atlanta-Sandy Springs-Marietta, GA
13207	Macon, GA
13213	Dalton, GA
13215	Columbus, GA-AL
13217	Atlanta-Sandy Springs-Marietta, GA
13219	Athens-Clarke County, GA
13221	Athens-Clarke County, GA
13223	Atlanta-Sandy Springs-Marietta, GA
13227	Atlanta-Sandy Springs-Marietta, GA
13231	Atlanta-Sandy Springs-Marietta, GA
13245	Augusta-Richmond County, GA-SC
